City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Labuhan,ID,2022-09-28 19:00:17,-6.8844,112.2051,77.81,79,50,8.16
222,Panaba,MX,2022-09-28 19:00:18,21.2833,-88.2667,87.12,55,63,13.73
223,Benguela,AO,2022-09-28 19:00:19,-12.5763,13.4055,72.01,82,97,5.06
224,Sulangan,PH,2022-09-28 19:00:20,11.1373,123.7228,82.47,74,97,4.03
225,Porto Walter,BR,2022-09-28 19:00:21,-8.2686,-72.7439,97.38,30,100,3.47
226,Poum,NC,2022-09-28 19:00:21,-20.2333,164.0167,77.02,81,100,16.2
227,Contamana,PE,2022-09-28 19:00:22,-7.3333,-75.0167,101.44,24,94,4.92
228,Vagur,FO,2022-09-28 19:00:23,61.4732,-6.8119,49.01,82,100,4.59
229,Tasiilaq,GL,2022-09-28 19:00:24,65.6145,-37.6368,35.76,99,100,5.73
230,Shenjiamen,CN,2022-09-28 19:00:24,29.9576,122.298,72.81,88,75,3.29
231,Yarensk,RU,2022-09-28 19:00:25,62.1675,49.0916,29.82,68,2,7.16
232,Manaure,CO,2022-09-28 19:00:26,11.7751,-72.4445,87.84,62,66,7.0
233,Katsuura,JP,2022-09-28 19:00:27,35.1333,140.3,71.6,65,100,3.22
234,Severo-Kurilsk,RU,2022-09-28 19:01:27,50.6789,156.125,50.23,75,100,12.8
235,Olafsvik,IS,2022-09-28 19:01:28,64.8945,-23.7142,48.11,91,100,8.57
236,Ca Mau,VN,2022-09-28 19:01:28,9.1769,105.15,77.25,90,100,12.1
237,Yar-Sale,RU,2022-09-28 19:01:29,66.8333,70.8333,26.6,91,82,8.93
238,Guayaramerin,BO,2022-09-28 19:01:30,-10.8368,-65.3614,91.35,43,100,1.99
239,Weihe,CN,2022-09-28 19:01:30,32.9952,105.3247,57.9,93,94,1.83
240,Argenta,IT,2022-09-28 19:01:31,44.6124,11.8356,68.65,68,8,14.38
241,Sungaipenuh,ID,2022-09-28 19:01:31,-2.0833,101.3833,62.78,96,100,1.59
242,Meulaboh,ID,2022-09-28 19:01:32,4.1363,96.1285,73.36,94,100,3.58
243,Torbay,CA,2022-09-28 19:01:33,47.6666,-52.7314,68.76,97,100,14.97
244,Seydi,TM,2022-09-28 19:01:34,39.4816,62.9137,64.92,27,98,13.67
245,Svejbaek,DK,2022-09-28 19:01:34,56.1325,9.6329,50.2,96,100,2.46
246,Geraldton,AU,2022-09-28 19:01:34,-28.7667,114.6,50.41,87,0,4.61
247,Sangar,RU,2022-09-28 19:01:35,63.9242,127.4739,26.01,94,71,8.68
248,Grimshaw,CA,2022-09-28 19:01:35,56.1834,-117.6027,72.12,34,11,6.73
249,Shamkhal,RU,2022-09-28 19:01:36,43.0596,47.3373,64.38,83,65,2.98
250,Saint-Joseph,RE,2022-09-28 19:01:36,-21.3667,55.6167,68.38,72,51,12.55
251,Polunochnoye,RU,2022-09-28 19:01:37,60.8697,60.4153,23.16,91,78,3.96
252,Nelidovo,RU,2022-09-28 19:01:37,56.2211,32.7774,43.52,87,100,2.93
253,Zhanakorgan,KZ,2022-09-28 19:01:38,43.9098,67.2495,58.8,37,100,15.41
254,Sioux Lookout,CA,2022-09-28 19:01:39,50.1001,-91.917,56.82,29,98,8.84
255,Aranos,NA,2022-09-28 18:59:39,-24.1333,19.1167,79.41,18,40,11.68
